CityCode,PinYin,Name,spring_pres,summer_pres,autumn_pres,winter_pres,spring,summer,autumn,winter,waterVaporDensity
130900,cangzhou,沧州,101.41,100.38,101.93,102.69,15.04,26.44,14.2,-0.28,1
131000,langfang,廊坊,101.31,100.32,101.85,102.6,14.69,26.23,12.99,-1.71,0
131100,hengshui,衡水,101.17,100.13,101.69,102.45,15.2,26.16,14.03,-0.25,0
140100,taiyuan,太原,87.98,87.52,88.46,88.52,12.68,22.52,10.04,-3.29,0
140200,datong,大同,87.46,87.04,87.95,87.96,9.58,20.8,6.75,-7.79,0
140300,yangquan,阳泉,92.33,91.71,92.83,93.07,12.22,22.13,10.23,-2.78,0
140400,changzhi,长治,88.35,87.85,88.79,88.9,13.17,22.48,11.1,-1.66,0
140500,jincheng,晋城,92.53,91.86,92.99,93.29,14.61,23.64,12.86,0.49,0
140600,shuozhou,朔州,86.09,85.72,86.57,86.51,8.97,20.31,6.12,-8.43,0
140700,jinzhong,晋中,90.08,89.51,90.57,90.75,13.23,22.78,10.83,-2.05,0
140800,yuncheng,运城,94.03,93.24,94.51,94.92,15.61,24.57,13.59,1.39,0
140900,xinzhou,忻州,86.15,85.78,86.63,86.58,9.77,20.49,7.32,-6.44,0
141000,linfen,临汾,91.94,91.26,92.42,92.7,13.81,23.2,11.55,-0.99,0
141100,lvliang,吕梁,86.77,86.31,87.23,87.29,12.68,22.8,9.95,-3.3,0
150100,huhehaote,呼和浩特,84.83,84.52,85.31,85.17,8.78,20.71,5.9,-9.61,0
150200,baotou,包头,88.26,87.73,88.75,88.88,8.26,21.1,5.18,-11.41,0
150300,wuhai,乌海,86.82,86.27,87.26,87.39,12.31,23.66,9.15,-5.17,0
150400,chifeng,赤峰,92.64,92.15,93.19,93.39,8.34,21.91,6.46,-10.39,0
150500,tongliao,通辽,99.07,98.36,99.65,100.23,9.31,23.54,7.87,-9.86,0
150600,eerduosi,鄂尔多斯,86.03,85.57,86.48,86.52,10.78,22.21,7.8,-6.68,0
150700,henunbeier,呼伦贝尔,92.62,92.28,93.15,93.33,3.25,18.73,1.09,-20.1,0
150800,bayannaoer,巴彦淖尔,85.48,85.04,85.91,85.88,9.05,22.04,5.89,-9.7,0
150900,wulancabu,乌兰察布,84.82,84.54,85.3,85.14,7.36,19.98,4.52,-11.28,0
152200,xingan,兴安,99.19,98.63,99.78,100.31,6.32,20.77,4.96,-13.76,0
152500,xilingguole,锡林郭勒,86.54,86.3,87.04,86.91,5.91,20.2,3.34,-15.68,0
152900,alashan,阿拉善,85.58,85.27,86.07,85.94,10.62,22.14,7.42,-6.55,0
210100,shenyang,沈阳,100.74,99.9,101.26,101.96,10.04,24.11,9.52,-8,0
210200,dalian,大连,101.38,100.45,101.8,102.52,10.19,23.12,12.38,-3.06,1
210300,anshan,鞍山,98.87,98.12,99.37,99.92,10.07,23.77,10.67,-5.33,0
210400,fushun,抚顺,99.86,99.09,100.38,101,8.22,22.83,7.83,-9.54,0
210500,benxi,本溪,95.89,95.35,96.35,96.64,8.84,23.16,8.89,-7.76,0
210600,dandong,丹东,100.56,99.75,100.98,101.59,8.95,22.78,9.8,-6.04,1
210700,jinzhou,锦州,100.86,99.97,101.38,102.1,10.73,24.4,10.6,-6.01,1
210800,yingkou,营口,100.26,99.41,100.74,101.4,10.43,24,11.42,-4.61,1
210900,fuxin,阜新,98.27,97.57,98.82,99.35,10.26,24.18,9.39,-7.87,0
211000,liaoyang,辽阳,100.85,100,101.36,102.06,10.56,24.47,10.84,-5.67,0
211100,panjin,盘锦,101.43,100.52,101.94,102.7,10.72,24.61,11.61,-4.97,1
211200,tieling,铁岭,99.95,99.18,100.48,101.11,9,23.54,8.36,-9.74,0
211300,chaoyang,朝阳,98.04,97.3,98.58,99.12,10.87,24,9.44,-6.56,0
211400,huludao,葫芦岛,99.15,98.34,99.68,100.28,10.94,23.99,10.65,-5.17,1
220100,changchun,长春,98.59,97.97,99.14,99.64,7.8,22.6,6.67,-13.02,0
220200,jilin,吉林,98.5,97.91,99.04,99.52,6.93,21.9,6.51,-12.28,0
220300,siping,四平,98.61,97.94,99.14,99.65,8.48,23.18,7.5,-11.37,0
220400,liaoyuan,辽源,97.66,97.06,98.19,98.61,7.83,22.62,7.21,-10.88,0
220500,tonghua,通化,94.65,94.19,95.13,95.32,7.36,22.2,7.32,-9.99,0
220600,baishan,白山,93.3,92.93,93.79,93.88,5.67,20.69,6.01,-11.32,0
220700,songyuan,松原,99.23,98.6,99.8,100.35,8.26,22.97,7.06,-12.84,0
220800,baicheng,白城,99.45,98.78,100.04,100.63,8.26,22.92,7.1,-12.38,0
222400,yanbian,延边,79.94,79.75,80.28,80.13,6.01,20.64,6.45,-10.82,0
230100,haerbin,哈尔滨,99.46,98.9,100.04,100.58,6.74,21.31,5.8,-14.78,0
230200,qiqihaer,齐齐哈尔,99.19,98.59,99.78,100.34,6.24,21,5.05,-15.46,0
230300,jixi,鸡西,97.77,97.41,98.34,98.58,6.17,20.2,6.32,-13.37,0
230400,hegang,鹤岗,97.26,96.98,97.83,98.02,6.4,20.29,5.76,-14.71,0
230500,shuangyashan,双鸭山,97.93,97.58,98.5,98.76,6.41,20.32,6.29,-13.79,0
230600,daqing,大庆,99.44,98.83,100.03,100.6,7.23,22.04,6.29,-14.45,0
230700,yichun1,伊春,95.55,95.34,96.12,96.21,5.74,19.99,4.79,-16.17,0
230800,jiamusi,佳木斯,99.65,99.22,100.23,100.64,6.55,20.38,6.13,-14.04,0
230900,qitaihe,七台河,97.99,97.63,98.56,98.81,6.64,20.54,6.41,-12.95,0
231000,mudanjiang,牡丹江,95.66,95.35,96.21,96.35,6.21,20.46,6.08,-12.42,0
231100,heihe,黑河,96.52,96.2,97.08,97.33,4.81,19.67,3.42,-17.74,0
231200,suhua,绥化,99.2,98.67,99.78,100.28,6.32,20.96,5.3,-16.08,0
232700,daxinanling,大兴安岭,87.96,87.9,88.46,88.26,1.74,17.16,-0.76,-22.19,0
310000,shanghai,上海,101.52,100.5,101.74,102.56,16.5,27.35,19.34,7.58,1
310400,xuhui,徐汇,101.52,100.5,101.74,102.56,16.5,27.35,19.34,7.58,1
310500,changning,长宁,101.52,100.5,101.74,102.56,16.5,27.35,19.34,7.58,1
310600,jinghong,静安,94.6,93.76,95.1,95.56,17.2,26.78,14.93,3.58,1
310700,putuo,普陀,101.52,100.5,101.74,102.56,17.45,28.63,20.34,7.67,1
310900,hongkou,虹口,101.54,100.51,101.77,102.58,17.45,28.63,20.34,7.67,1
311000,yangpu,杨浦,101.54,100.51,101.77,102.58,16.5,27.35,19.34,7.58,1
311200,minhang,闵行,101.52,100.5,101.74,102.56,16.5,27.35,19.34,7.58,1
311300,shanghaibaoshan,宝山,101.54,100.51,101.77,102.58,16.5,27.35,19.34,7.58,1
311400,jiading,嘉定,101.54,100.51,101.77,102.58,17.45,28.63,20.34,7.67,1
311500,pudong,浦东新,101.56,100.55,101.75,102.56,16.32,27.63,20.09,7.52,1
311600,jinshan,金山,101.52,100.5,101.74,102.56,17.45,28.63,20.34,7.67,1
311700,songjiang,松江,101.52,100.5,101.74,102.56,17.45,28.63,20.34,7.67,1
311800,qingzhou,青浦,101.52,100.5,101.74,102.56,17.45,28.63,20.34,7.67,1
312000,fengxian,奉贤,101.56,100.55,101.75,102.56,16.32,27.63,20.09,7.52,1
315100,chongming,崇明,101.54,100.51,101.77,102.58,16.73,28.21,19.78,7.05,2
320100,nanjing,南京,101.25,100.2,101.58,102.37,16.91,26.91,17.97,5.83,0
320200,wuxi,无锡,101.45,100.41,101.73,102.54,17.06,27.61,18.79,6.74,0
320300,xuzhou,徐州,101.05,99.99,101.48,102.24,16.05,26.39,16.29,3.61,0
320400,changzhou,常州,101.5,100.45,101.8,102.6,16.99,27.45,18.48,6.44,0
320500,suzhou,苏州,101.49,100.45,101.76,102.56,16.95,27.57,19.09,7.16,0
320600,nantong,南通,101.52,100.47,101.79,102.6,15.65,26.68,18.44,6.25,1
320700,lianyungang,连云港,101.49,100.43,101.86,102.64,15.05,25.75,16.62,3.44,1
320800,huaian,淮安,101.41,100.35,101.78,102.57,15.57,26.41,16.85,4.26,0
320900,yancheng,盐城,101.57,100.51,101.9,102.7,14.85,26.16,17.22,4.51,1
321000,yangzhou,扬州,101.4,100.35,101.73,102.53,15.86,26.65,17.63,5.16,0
321100,zhenjiang,镇江,101.28,100.24,101.6,102.39,16.69,27.05,18.17,6.01,0
321200,taizhou,泰州,101.52,100.47,101.83,102.63,15.68,26.65,17.86,5.47,0
321300,suqian,宿迁,101.28,100.22,101.68,102.45,15.73,26.29,16.63,3.94,0
330100,hangzhou,杭州,99.74,98.82,100.01,100.74,17.2,27.47,18.54,7.68,0
330200,ningbo,宁波,101.34,100.35,101.5,102.3,16.86,27.7,19.67,8.73,1
330300,wenzhou,温州,99.11,98.29,99.28,99.95,17.64,28.09,20.75,10.87,1
330400,jiaxing,嘉兴,101.44,100.42,101.69,102.5,16.88,27.63,19.11,7.71,1
330500,huzhou,湖州,101.19,100.17,101.47,102.26,17.2,27.53,18.67,7.12,0
330600,shaoxing,绍兴,100.43,99.47,100.67,101.43,17.47,28.09,19.2,8.34,0
330700,jinhua,金华,98.41,97.59,98.68,99.32,18.29,28.78,19.72,9.2,0
330800,quzhou,衢州,97.19,96.43,97.46,98.05,17.99,28.15,19.16,8.84,0
330900,zhoushan,舟山,101.5,100.53,101.63,102.43,16.08,26.83,19.9,8.97,2
331000,taizhou1,台州,99.97,99.09,100.12,100.85,17.42,28.1,20.45,9.95,1
331100,lishui,丽水,96.8,96.07,97.04,97.6,18.14,28.26,19.75,10.05,0
340100,hefei,合肥,100.96,99.93,101.32,102.1,17.04,26.71,17.35,5.31,0
340200,wuhu,芜湖,101.22,100.19,101.57,102.36,17.13,26.87,17.82,5.95,0
340300,bengbu,蚌埠,101.17,100.11,101.56,102.34,16.37,26.6,16.85,4.34,0
340400,huainan,淮南,101.14,100.08,101.53,102.3,16.71,26.55,16.93,4.67,0
340500,maanshan,马鞍山,101.26,100.22,101.58,102.38,17.1,26.78,17.95,5.88,0
340600,huaibei,淮北,100.98,99.92,101.4,102.16,15.92,26.49,16.41,3.69,0
340700,tongling,铜陵,100.92,99.91,101.26,102.04,17.25,26.95,17.71,5.96,0
340800,anqing,安庆,100.41,99.43,100.74,101.49,16.91,26.44,17.09,5.85,0
341000,huangshan,黄山,96.93,96.17,97.22,97.79,15.03,24.82,16,5.55,0
341100,chuzhou,滁州,100.87,99.83,101.23,101.99,16.53,26.63,17.2,4.87,0
341200,fuyang,阜阳,101.11,100.04,101.53,102.3,16.98,26.77,16.99,4.55,0
341300,suzhou1,宿州,101.21,100.14,101.62,102.39,16.07,26.51,16.4,3.76,0
341500,luan,六安,98.59,97.65,98.97,99.61,17.45,26.86,17.22,5.44,0
341600,bozhou,亳州,101,99.94,101.44,102.2,16.51,26.69,16.78,4.13,0
341700,chizhou,池州,99.52,98.59,99.85,100.55,16.08,25.82,16.79,5.89,0
341800,xuancheng,宣城,100.7,99.7,101.02,101.78,16.21,26.18,17.18,5.89,0
350100,fuzhou,福州,99.03,98.29,99.14,99.78,18.66,28.53,21.85,12.84,1
350200,xiamen,厦门,100.08,99.4,100.11,100.78,20.11,28.44,23.38,14.79,1
350300,putian,莆田,96.81,96.19,96.94,97.47,18.41,27.22,21.48,12.84,1
350400,sanming,三明,95.51,94.91,95.71,96.21,18.27,27.19,19.83,10.91,0
350500,quanzhou,泉州,97.38,96.77,97.48,98.03,18.08,26.03,20.58,12.37,1
350600,zhangzhou,漳州,99.53,98.89,99.58,100.21,20.94,28.57,23.58,15.02,1
350700,nanping,南平,96.09,95.44,96.32,96.84,18.38,27.96,20.12,10.69,0
350800,longyan,龙岩,93.96,93.45,94.07,94.51,20.28,28.13,22.15,13.41,0
350900,ningde,宁德,94.38,93.79,94.57,95.01,17.81,28,20.76,11.48,1
360100,nanchang,南昌,101.02,100.09,101.29,102.09,18.46,28.42,19.01,8.36,0
360200,jingdezhen,景德镇,100.13,99.22,100.43,101.16,17.99,28.07,18.85,8.3,0
360300,pingxiang,萍乡,98.11,97.31,98.4,99.04,18.43,28.55,18.61,8.57,0
360400,jiujiang,九江,100.57,99.61,100.87,101.63,16.88,26.56,17.03,6.64,0
360500,xinyu,新余,100.23,99.32,100.51,101.26,18.6,28.71,18.97,8.84,0
360600,yingtan,鹰潭,100.65,99.75,100.9,101.67,18.75,28.94,19.74,9.42,0
360700,ganzhou,赣州,98.3,97.59,98.52,99.17,19.6,28.46,20.73,11.42,0
360800,jian,吉安,99.72,98.88,99.97,100.7,18.65,28.57,19.15,9.29,0
360900,yichun,宜春,98.64,97.8,98.94,99.6,18.39,28.41,18.72,8.46,0
361000,fuzhou1,抚州,98.61,97.83,98.85,99.53,18.87,28.86,19.74,9.64,0
361100,shangrao,上饶,99.52,98.69,99.78,100.48,18.31,28.39,19.28,8.88,0
370100,jinan,济南,99.37,98.41,99.84,100.5,14.02,24.49,13.95,0.73,0
370200,qingdao,青岛,101.24,100.23,101.6,102.34,12.94,24.33,15.55,1.82,1
370300,zibo,淄博,100.77,99.76,101.24,101.97,14.29,24.98,14.38,1.05,0
370400,zaozhuang,枣庄,99.94,98.95,100.37,101.06,15.55,25.9,15.62,2.87,0
370500,dongying,东营,101.5,100.47,101.96,102.73,14.55,26.18,15.05,1.07,1
370600,yantai,烟台,100.77,99.82,101.18,101.87,12.48,24.41,15.3,1.49,1
370700,weifang,潍坊,101,100,101.43,102.18,13.97,25.11,15.18,1.49,1
370800,jining,济宁,100.98,99.93,101.42,102.17,15.11,25.6,14.82,1.99,0
370900,taian,泰安,100.11,99.12,100.57,101.26,12.36,22.88,12.39,-0.38,0
371000,weihai,威海,101.6,100.6,101.94,102.68,11.37,23.14,15.74,1.77,1
371100,rizhao,日照,100.37,99.39,100.77,101.48,14.02,24.58,15.72,2.28,1
371200,laiwu,莱芜,101.02,99.97,101.39,102.17,17.49,27.72,17.39,5.28,0
371300,linyi,临沂,100.39,99.38,100.81,101.53,14.88,25.28,15.47,2.41,0
371400,dezhou,德州,101.25,100.2,101.75,102.52,14.53,25.64,14.11,0.35,0
371500,liaocheng,聊城,100.95,99.91,101.43,102.18,14.74,25.46,14.3,0.84,0
371600,binzhou,滨州,101.44,100.4,101.91,102.68,14.69,25.95,14.45,0.65,1
371700,heze,菏泽,100.89,99.84,101.36,102.09,15.89,26.19,15.52,2.68,0
410100,zhengzhou,郑州,99.95,98.92,100.43,101.12,17.24,26.44,16.31,3.49,0
410200,kaifeng,开封,100.69,99.62,101.15,101.89,16.9,26.64,16.39,3.46,0
410300,luoyang,洛阳,97.55,96.61,98.03,98.61,16.43,25.09,15.02,3.16,0
410400,pingdingshan,平顶山,99.28,98.27,99.74,100.4,17.05,26.11,15.93,3.8,0
410500,anyang,安阳,99.91,98.91,100.41,101.09,16.19,25.78,15.14,1.93,0
410600,hebi,鹤壁,99.91,98.91,100.41,101.09,16.48,26.02,15.41,2.19,0
410700,xinxiang,新乡,97.57,96.7,98.06,98.58,16.95,26.43,15.91,2.85,0
410800,jiaozuo,焦作,100.44,99.38,100.93,101.66,16.33,25.35,15.03,2.41,0
410900,puyang,濮阳,100.84,99.77,101.31,102.06,15.66,26,15.1,1.88,0
411000,xuchang,许昌,100.37,99.31,100.83,101.56,16.64,26.27,15.86,3.24,0
411100,luohe,漯河,100.43,99.37,100.89,101.62,16.84,26.37,16.05,3.65,0
411200,sanmenxia,三门峡,92.72,91.98,93.18,93.54,15.26,23.93,13.57,2.13,0
411300,nanyang,南阳,99.25,98.23,99.7,100.37,17.08,25.95,16.14,4.66,0
411400,shangqiu,商丘,100.9,99.84,101.35,102.1,16.05,26.41,15.9,3.25,0
411500,xinyang,信阳,100.36,99.32,100.76,101.49,17.46,26.71,16.99,5.27,0
411600,zhoukou,周口,100.92,99.85,101.37,102.12,16.95,26.75,16.61,4.05,0
411700,zhumadian,驻马店,99.6,98.58,100.05,100.73,17.22,26.38,16.21,4.44,0
419100,jiyuan,济源,97.19,96.29,97.67,98.22,15.87,24.56,14.25,2.07,0
420100,wuhan,武汉,101.1,100.06,101.46,102.25,17.73,27.42,17.55,6.13,0
420200,huangshi,黄石,100.41,99.42,100.75,101.5,17.87,27.32,17.89,6.92,0
420300,shiyan,十堰,93.62,92.81,94.05,94.45,16.1,25.06,15.43,4.88,0
420500,yichang,宜昌,97.39,96.46,97.79,98.37,17.33,26.03,16.63,6.8,0
420600,xiangyang,襄阳,99.15,98.12,99.59,100.26,17.36,26.15,16.63,5.56,0
420700,ezhou,鄂州,100.77,99.76,101.12,101.89,17.71,27.28,17.66,6.46,0
420800,jingmen,荆门,100.42,99.35,100.81,101.56,17.7,26.65,17,6.17,0
420900,xiaogan,孝感,100.94,99.88,101.32,102.09,17.43,27.01,17.12,5.69,0
421000,jingzhou,荆州,100.95,99.87,101.33,102.11,18.15,27.33,17.53,6.81,0
421100,huanggang,黄冈,100.77,99.76,101.12,101.89,17.23,26.71,17.35,6.04,0
421200,xianning,咸宁,100.38,99.38,100.73,101.48,18.14,27.72,17.95,7.08,0
421300,suizhou,随州,98.4,97.44,98.81,99.44,17.2,26.34,16.46,5.17,0
422800,enshi,恩施,88.87,88.31,89.25,89.44,16.33,25.38,15.8,6.64,0
429100,shennongjia,神农架林,100.35,99.41,100.66,101.42,17.48,28.38,19.23,6.93,0
429400,xiantao,仙桃,101.14,100.08,101.5,102.3,18.16,27.56,17.7,6.52,0
429500,qianjiang,潜江,101.12,100.04,101.49,102.28,18.14,27.34,17.52,6.56,0
429600,tianmen,天门,101.12,100.04,101.49,102.28,17.96,27.24,17.45,6.22,0
430100,changsha,长沙,100.35,99.41,100.66,101.42,18.04,28.11,17.84,7.47,0
430200,zhuzhou,株洲,97.3,96.55,97.57,98.19,17.91,27.93,17.97,8,0
430300,xiangtan,湘潭,99.75,98.82,100.06,100.79,17.16,27.29,16.89,6.74,0
430400,hengyang,衡阳,99.7,98.81,100,100.73,17.89,28.23,17.71,7.64,0
430500,shaoyang,邵阳,97.28,96.46,97.61,98.21,17.95,27.81,17.55,7.95,0
430600,yueyang,岳阳,100.51,99.52,100.85,101.62,18.18,27.87,17.88,7.2,0
430700,changde,常德,100.76,99.71,101.13,101.9,17.71,26.84,17.03,7.05,0
430800,zhangjiajie,张家界,94.75,93.96,95.13,95.59,17.11,26.22,16.39,6.92,0
430900,yiyang,益阳,99.17,98.21,99.53,100.23,17.87,27.53,17.39,7.2,0
431000,chenzhou,郴州,97.23,96.51,97.48,98.07,18.5,28.09,18.68,9.12,0
431100,yongzhou,永州,95.92,95.2,96.19,96.75,19.4,29.18,19.58,9.78,0
431200,huaihua,怀化,96.9,96.07,97.26,97.83,17.4,27.05,16.74,7.44,0
431300,loudi,娄底,98.1,97.24,98.43,99.07,17.74,27.95,17.31,7.4,0
433100,xiangxiang,湘西,94.49,93.71,94.87,95.32,16.71,26.15,15.98,6.67,0
440100,guangzhou,广州,100.98,100.31,101.07,101.76,22.36,28.92,24.03,15.7,1
440200,shaoguan,韶关,97.34,96.69,97.52,98.1,20.35,28.51,21.62,12.7,0
440300,shenzhen,深圳,101.05,100.38,101.08,101.77,23.1,29.05,25.05,17.13,1
440400,zhuhai,珠海,101.05,100.38,101.08,101.77,23.25,29.26,25.14,17.23,1
440500,shantou,汕头,100.67,100,100.67,101.35,22.19,29.23,25.17,16.78,1
440600,foshan,佛山,100.98,100.31,101.07,101.76,22.73,29.1,24.38,16.17,0
440700,jiangmen,江门,100.87,100.21,100.94,101.62,23.3,29.16,24.87,17.03,1
440800,zhanjiang,湛江,100.85,100.21,100.94,101.6,24.53,29.5,25.18,18.4,1
440900,maoming,茂名,100.85,100.21,100.94,101.6,23.67,28.88,24.85,17.54,1
441200,zhaoqing,肇庆,99.95,99.3,100.06,100.71,22.08,28.92,23.49,15.04,0
441300,huizhou,惠州,100.03,99.4,100.08,100.73,22.28,28.7,24.17,15.9,1
441400,meizhou,梅州,98,97.41,98.09,98.68,21.58,28.8,23.51,14.88,0
441500,shanwei,汕尾,100.15,99.53,100.17,100.81,22.27,28.79,24.68,16.5,1
441600,heyuan,河源,97.83,97.23,97.92,98.52,21.28,28.25,22.92,14.35,0
441700,yangjiang,阳江,100.2,99.57,100.29,100.91,23.32,28.92,24.72,17.23,1
441800,qingyuan,清远,100.19,99.53,100.3,100.97,21.15,28.99,22.56,13.68,0
441900,dongguan,东莞,100.86,100.2,100.92,101.61,22.95,29.05,24.86,16.68,1
442000,zhongshan,中山,100.87,100.21,100.94,101.62,23.29,29.36,25.08,17.08,1
445100,chaozhou,潮州,100.67,100,100.67,101.35,21.88,29.01,24.61,16.07,1
445200,jieyang,揭阳,99.31,98.7,99.35,99.97,21.95,28.73,24.41,16.23,1
445300,yunfu,云浮,98.88,98.25,99.01,99.61,23.06,29.19,24.23,16.3,0
450100,nanning,南宁,99.1,98.43,99.34,99.94,22.23,28.58,22.66,14.93,0
450200,liuzhou,柳州,97.47,96.79,97.75,98.31,19.76,27.51,19.94,11.07,0
450300,guilin,桂林,95.01,94.39,95.29,95.76,19.63,28.19,20.14,10.68,0
450400,wuzhou,梧州,99.67,99,99.82,100.47,21.85,28.63,23.08,14.67,0
450500,beihai,北海,100.95,100.29,101.08,101.75,23.67,29.64,24.62,17.16,1
450600,fangchenggang,防城港,100.39,99.71,100.54,101.19,22.67,28.86,23.33,15.75,1
450700,qinzhou,钦州,100.46,99.78,100.62,101.29,22.89,29.11,23.72,16.04,1
450800,guigang,贵港,98.73,98.07,98.92,99.52,21.77,28.45,22.61,14.37,0
450900,yulin,玉林,98.96,98.33,99.12,99.71,23.13,28.93,24.14,16.52,0
451000,baise,百色,95.71,95.1,96.02,96.49,20.85,26.41,19.81,12.97,0
451100,hezhou,贺州,97.21,96.57,97.42,97.97,20.69,28.62,21.72,12.67,0
451200,hechi,河池,96.47,95.82,96.78,97.28,20.93,27.54,20.23,12.42,0
451300,laibin,来宾,99.48,98.77,99.72,100.36,21.23,28.16,21.7,13.27,0
451400,chongzuo,崇左,98.63,97.98,98.87,99.45,21.93,27.84,21.88,14.72,0
460100,haikou,海口,100.76,100.17,100.84,101.48,25.93,29.42,25.55,19.83,2
460200,sanya,三亚,98.08,97.59,98.06,98.61,25.75,28.96,24.95,19.85,2
460300,sansha,三沙,101.09,100.63,100.95,101.51,25.11,29.15,25.22,19.11,2
460400,danzhou,儋州,99.05,98.52,99.14,99.72,26.06,29.07,25.01,19.89,2
468100,dingan,定安,90.94,90.47,91.31,91.55,25.9,29.12,25.36,19.9,2
468200,tunchang,屯昌,98.3,97.78,98.33,98.89,25.69,28.72,24.8,19.75,2
468300,chenmai,澄迈,62.64,62.9,62.94,62.32,25.9,29.22,25.24,19.79,2
468400,lingao,临高,93.38,92.61,93.87,94.26,25.93,29.19,25.14,19.78,2
468500,baisha,白沙,78.54,78.33,78.78,78.64,25.89,28.92,24.88,19.9,2
468600,changjiang,昌江,100.85,99.91,101.13,101.91,26.35,29.64,25.64,20.45,2
468700,ledong,乐东,96.12,95.65,96.16,96.66,26.11,29.39,25.39,20.23,2
468800,linshui,陵水,99.1,98.43,99.34,99.94,25.49,28.49,24.51,19.63,2
468900,baoting,保亭,100.57,99.61,100.87,101.63,25.54,28.56,24.56,19.68,2
469100,wuzhishan,五指山,96.12,95.65,96.16,96.66,25.55,28.52,24.5,19.71,2
469200,qionghai,琼海,100.66,100.08,100.68,101.32,25.98,29.02,25.42,20.04,2
469500,wenchang,文昌,100.66,100.08,100.68,101.32,25.77,29.33,25.47,19.74,2
469600,wanning,万宁,98.3,97.78,98.33,98.89,25.68,28.69,24.88,19.8,2
469700,gongfang,东方,99.11,98.59,99.13,99.73,26.7,30.06,26.09,20.89,2
469900,qiongzhong,琼中,101.05,100.38,101.08,101.77,25.29,28.06,24.03,19.53,2
